Book Name,Author,Rating,Number of Reviews,Price,cleaned_description,Listening Time (minutes),Rank,Genre
When Breath Becomes Air,Paul Kalanithi,4.6,11485,615,"tackling the agonizing transition from skilled surgeon to bewildered patient, when breath becomes air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding.",335,123,Audible Audiobooks & Originals
365 Tales Of Indian Mythology,Om Books International,4.4,238,836,"one treat a day! a 23volume series of 365 treats stories, facts, questions and answers, and science experiments for young listeners.",601,81,Audible Audiobooks & Originals
Hooked: How To Build Habit-Forming Products,Nir Eyal,4.6,1754,501,"note to audible listeners as of december 2019, this version of the hooked audiobook has been revised and rerecorded to greatly improve audio quality. please disregard any reviews mentioning poor audio quality prior to december 2019.",280,99,Audible Audiobooks & Originals
The Design Of Everyday Things: Revised And Expanded Edition,Don Norman,4.3,1378,500,"design doesn't have to be complicated, which is why this guide to humancentered design shows that usability is just as important as aesthetics.",639,94,Audible Audiobooks & Originals
What Every Body Is Saying: An Ex-Fbi Agent'S Guide To Speed-Reading People,Joe Navarro,4.5,3373,10378,he says that's his best offer. is it?,439,165,Audible Audiobooks & Originals
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592,13345,an engrossing insider's account of how a teacher built one of the world's most valuable companies rivaling walmart and amazon and forever reshaped the global economy.,549,131,Audible Audiobooks & Originals
Das Think Like A Monk-Prinzip: Finde Innere Ruhe Und Kraft Für Ein Erfülltes Und Sinnvolles Leben,Jay Shetty,4.5,319,703,"als er gerade frisch von der wirtschaftshochschule kommt, wendet sich der gebrtige londoner jay shetty von der welt der anzge und bros ab, rasiert seinen kopf und wird mnch. nach drei jahren in indien folgt er seinem gefhl nach der eigenen berufung und kehrt zurck, um das, was er gelernt hat, auf berzeugende weise aktiv, dynamisch, unterhaltsam, zugnglich mit der welt, aus der er gekommen war, zu teilen. es gelingt heute folgen ihm ber 32 millionen menschen in den sozialen medien.",694,115,Self-Help
Do Kadam Aur Sahi [Two Steps And Right],Rahat Indori,4.6,98,501,"do kadam aur sahi is an excellent compilation of selected poems by the renowned urdu poet rahat indoori. the compiler, sachin chaudhary, has named the collection as selected pearls of the ocean. the magic that flows from the pen of rahat indauri gives a different feeling.",214,122,Audible Audiobooks & Originals
Asura: Tale Of The Vanquished: The Story Of Ravana And His People,Anand Neelakantan,4.2,1039,1003,the epic tale of victory and defeat,1097,157,Audible Audiobooks & Originals
Good To Great: Why Some Companies Make The Leap...And Others Don'T,Jim Collins,4.6,2411,15817,"built to last, the defining management study of the '90s, showed how great companies triumph over time and how longterm sustained performance can be engineered into the dna of an enterprise from the very beginning.",601,63,Audible Audiobooks & Originals
7 Secrets Of Shiva: The Hindu Trinity Series,Devdutt Pattanaik,4.4,686,501,"shiva, 'the destroyer' among the hindu trinity of gods, is depicted in many contradictory manners. he is an ascetic who wears animal skin, his body smeared with ashes. contradictory to his wild nature, he is also depicted as having a family, with a beautiful wife and two children. there are many more such varied representations of shiva, the most prominent of these being the linga and the nataraja. the author, devdutt pattanaik, introduces listeners to these varied aspects and representations, and then sets about interpreting them. he explains the different anomalies and conflicts in beliefs, as well as the symbolism, rituals and reasons behind hindu worship.",244,136,Self-Help
How To Stop Worrying And Start Living,Dale Carnegie,4.5,5012,668,learn how to break the worry habit now and forever!,582,126,Audible Audiobooks & Originals
